jd_id,job_title,max_score,avg_top5
1385,Network Administrator,33.02,24.666000000000004
1377,Django Developer,28.29,24.374
68,PHP Developer,35.88,21.828
909,JavaScript Developer,22.0,20.881999999999998
967,Node js developer,20.9,20.738
572,PHP Developer,24.08,20.082
1836,JavaScript Developer,27.68,19.578
1987,Network Administrator,30.79,19.491999999999997
142,Network Administrator,22.17,19.058
982,Backend Developer,24.0,18.712
1554,Machine Learning,22.36,18.274
1196,Node js developer,26.68,18.068
1075,Network Administrator,26.51,18.032
1813,Network Administrator,30.09,17.846
1384,Java Developer,20.26,17.512
1187,PHP Developer,22.03,17.342000000000002
1044,PHP Developer,22.01,17.31
806,Database Administrator,40.79,17.062
2160,Wordpress Developer,18.89,16.914
1204,Network Administrator,21.87,16.896
2041,Database Administrator,23.0,16.846
2137,Network Administrator,27.8,16.688
945,Network Administrator,26.88,16.408
812,Network Administrator,28.88,16.266
343,Software Engineer,24.23,16.144
1971,Network Administrator,32.17,16.12
881,Network Administrator,21.92,16.060000000000002
657,DevOps Engineer,23.9,15.991999999999999
825,JavaScript Developer,16.93,15.98
339,Network Administrator,24.48,15.866000000000003
330,Flutter Developer,22.8,15.803999999999998
1037,Software Engineer,25.55,15.791999999999998
2023,Backend Developer,19.49,15.607999999999999
259,Node js developer,22.77,15.442000000000002
131,Network Administrator,27.38,15.404
160,PHP Developer,16.53,15.344
823,Network Administrator,25.2,15.219999999999999
1774,Backend Developer,20.47,15.060000000000002
1498,JavaScript Developer,16.75,14.902000000000001
1189,Wordpress Developer,15.67,14.758
2149,Wordpress Developer,18.3,14.754000000000001
1577,PHP Developer,15.34,14.6
589,Network Administrator,24.17,14.562000000000001
1528,Network Administrator,27.14,14.496
2163,Network Administrator,27.32,14.445999999999998
370,Flutter Developer,16.04,14.412
1076,Network Administrator,25.2,14.34
1124,PHP Developer,15.17,14.309999999999999
785,Django Developer,20.23,14.268
856,Software Engineer,26.96,14.265999999999996
1461,Node js developer,14.57,14.258000000000001
320,Network Administrator,18.54,14.252
1159,Flutter Developer,17.28,14.190000000000001
1501,PHP Developer,17.89,14.184000000000001
359,Django Developer,17.68,14.114
87,Java Developer,19.11,14.1
1679,Network Administrator,19.15,14.012
936,Java Developer,22.05,13.943999999999999
1283,Network Administrator,25.72,13.928
669,Network Administrator,23.48,13.921999999999997
1633,Flutter Developer,14.41,13.892
1157,Wordpress Developer,15.94,13.866
1614,Java Developer,22.11,13.802000000000001
364,Network Administrator,27.49,13.792000000000002
2113,Node js developer,14.51,13.742
602,Flutter Developer,19.99,13.717999999999998
446,Node js developer,15.12,13.692000000000002
2027,Django Developer,20.41,13.692000000000002
1781,PHP Developer,15.22,13.675999999999998
1838,Backend Developer,16.21,13.638
1973,Flutter Developer,17.2,13.626
1699,DevOps Engineer,19.02,13.546000000000001
1575,Node js developer,17.5,13.538
2058,PHP Developer,15.33,13.526
1346,Network Administrator,27.41,13.506
1617,Node js developer,16.75,13.475999999999999
1245,Backend Developer,14.9,13.368
2217,Network Administrator,22.08,13.344
192,Machine Learning,21.34,13.318000000000001
2215,Network Administrator,25.95,13.306000000000001
260,PHP Developer,18.83,13.295999999999998
1980,Node js developer,15.63,13.288000000000002
530,Network Administrator,20.75,13.274000000000001
1705,Database Administrator,19.82,13.274000000000001
17,iOS Developer,20.34,13.25
1266,iOS Developer,20.34,13.25
1223,Java Developer,16.28,13.219999999999999
1762,Node js developer,17.59,13.2
427,Network Administrator,25.28,13.196000000000002
902,JavaScript Developer,17.42,13.181999999999999
36,Network Administrator,21.79,13.162
97,Wordpress Developer,23.18,13.145999999999997
457,Backend Developer,16.72,13.097999999999999
1999,Java Developer,19.15,13.081999999999999
413,PHP Developer,16.89,13.081999999999999
299,Backend Developer,14.52,13.075999999999999
2085,Backend Developer,14.41,13.046000000000001
99,Node js developer,14.55,13.01
2055,Network Administrator,23.72,13.005999999999997
1655,Network Administrator,24.3,13.001999999999999
1436,Java Developer,13.92,12.986
1059,Backend Developer,14.48,12.984
1921,PHP Developer,15.71,12.928
738,Network Administrator,20.74,12.876
387,Full Stack Developer,14.19,12.874
786,Django Developer,16.7,12.848000000000003
1995,Java Developer,14.18,12.847999999999999
1016,Database Administrator,14.0,12.842000000000002
2009,PHP Developer,16.92,12.836000000000002
1497,PHP Developer,16.08,12.831999999999999
1236,Network Administrator,20.15,12.822
1818,Network Administrator,28.21,12.813999999999998
1133,Flutter Developer,17.62,12.810000000000002
964,Software Engineer,19.44,12.797999999999998
94,Database Administrator,14.92,12.794
50,Flutter Developer,14.57,12.71
464,Machine Learning,15.72,12.674000000000001
422,Backend Developer,14.14,12.674
2260,Java Developer,14.24,12.669999999999998
710,JavaScript Developer,15.66,12.658
1360,PHP Developer,13.47,12.644
2251,Network Administrator,22.29,12.569999999999999
855,Software Engineer,16.92,12.568000000000001
1165,Software Engineer,14.19,12.565999999999999
2130,Network Administrator,14.84,12.562000000000001
1090,Django Developer,15.54,12.52
1238,PHP Developer,16.88,12.517999999999999
1382,Backend Developer,14.95,12.482000000000001
1625,PHP Developer,15.33,12.466000000000001
1909,Java Developer,15.22,12.456
182,Network Administrator,24.05,12.442000000000002
1,Django Developer,14.06,12.422
175,Machine Learning,14.18,12.402000000000001
1207,Network Administrator,17.31,12.4
1615,JavaScript Developer,15.74,12.388
1064,DevOps Engineer,15.04,12.378
1804,JavaScript Developer,15.34,12.331999999999999
580,Network Administrator,22.74,12.322
743,Network Administrator,15.63,12.31
1023,Node js developer,15.02,12.276
372,Network Administrator,16.93,12.260000000000002
38,Network Administrator,15.64,12.2
197,Java Developer,15.36,12.197999999999999
1904,JavaScript Developer,15.87,12.193999999999999
1717,Backend Developer,15.61,12.193999999999999
1313,Java Developer,17.98,12.190000000000001
1372,Software Engineer,14.02,12.175999999999998
1323,Network Administrator,19.1,12.156
1376,Flutter Developer,16.36,12.14
147,Wordpress Developer,27.0,12.13
91,Backend Developer,13.72,12.124
975,Java Developer,17.83,12.117999999999999
1269,Network Administrator,16.25,12.108
1791,JavaScript Developer,15.3,12.097999999999999
893,Software Engineer,18.87,12.084
1383,JavaScript Developer,17.44,12.06
1945,Node js developer,15.74,12.005999999999998
1035,Django Developer,14.32,12.001999999999999
89,DevOps Engineer,16.92,11.994
1902,DevOps Engineer,22.37,11.99
958,DevOps Engineer,14.91,11.984
1768,PHP Developer,13.59,11.977999999999998
1915,Node js developer,17.08,11.974
1116,Node js developer,18.04,11.974
592,Flutter Developer,14.74,11.964000000000002
2080,DevOps Engineer,13.98,11.962
886,Node js developer,16.07,11.962
965,Full Stack Developer,14.58,11.948
2233,Software Engineer,22.1,11.940000000000001
2039,DevOps Engineer,18.03,11.938000000000002
1502,DevOps Engineer,13.02,11.916
923,Backend Developer,22.39,11.913999999999998
16,Wordpress Developer,16.17,11.876000000000001
1735,Node js developer,17.58,11.872000000000002
1592,Node js developer,15.19,11.872
2020,Machine Learning,12.31,11.863999999999999
1140,Flutter Developer,13.78,11.854000000000001
947,Java Developer,15.56,11.846
1014,JavaScript Developer,14.34,11.822
864,iOS Developer,12.27,11.802000000000001
1715,Node js developer,13.9,11.790000000000001
1170,Django Developer,16.18,11.785999999999998
745,Django Developer,13.59,11.784
1267,Network Administrator,15.87,11.778
347,Django Developer,17.83,11.774
453,Network Administrator,26.82,11.766
2050,iOS Developer,15.69,11.744000000000002
642,JavaScript Developer,16.95,11.732
2034,PHP Developer,13.29,11.727999999999998
873,Flutter Developer,12.82,11.724
201,PHP Developer,12.92,11.721999999999998
501,PHP Developer,12.62,11.712
643,Flutter Developer,14.05,11.702000000000002
1164,Network Administrator,15.84,11.684000000000001
1139,Node js developer,13.35,11.678
1507,Django Developer,12.45,11.676
1253,JavaScript Developer,15.44,11.67
1908,JavaScript Developer,23.35,11.663999999999998
2252,Django Developer,14.84,11.652000000000001
426,Backend Developer,15.33,11.636
2077,Flutter Developer,16.13,11.606
266,iOS Developer,18.97,11.597999999999999
406,Software Engineer,14.69,11.592
1959,Flutter Developer,14.54,11.588
599,Software Engineer,13.02,11.580000000000002
2254,Node js developer,18.13,11.541999999999998
350,Flutter Developer,12.16,11.511999999999999
1336,Node js developer,19.61,11.51
1408,Node js developer,16.6,11.508
559,Network Administrator,26.28,11.501999999999999
2127,PHP Developer,16.45,11.472
324,Network Administrator,20.26,11.456
799,PHP Developer,19.16,11.443999999999999
425,Node js developer,14.32,11.443999999999999
1530,PHP Developer,16.33,11.437999999999999
654,Django Developer,13.11,11.428
417,Node js developer,12.34,11.422
1086,Node js developer,14.7,11.416
935,iOS Developer,11.78,11.406
2253,Django Developer,15.86,11.404
1914,Java Developer,14.56,11.396
1070,Network Administrator,20.61,11.394000000000002
466,Backend Developer,13.4,11.388
1013,Database Administrator,13.09,11.370000000000001
1852,JavaScript Developer,13.16,11.361999999999998
1875,Flutter Developer,17.23,11.357999999999999
1115,Node js developer,14.57,11.35
1722,iOS Developer,16.37,11.348
1510,Django Developer,13.74,11.335999999999999
1966,PHP Developer,12.83,11.334
1273,Full Stack Developer,15.33,11.330000000000002
1290,iOS Developer,12.69,11.318000000000001
2166,Software Engineer,17.53,11.312000000000001
1603,Java Developer,13.47,11.304
1147,Flutter Developer,16.74,11.301999999999998
1158,JavaScript Developer,18.02,11.298
1862,Flutter Developer,18.95,11.296000000000001
900,iOS Developer,18.95,11.296000000000001
1220,iOS Developer,13.39,11.296
2053,Flutter Developer,13.69,11.291999999999998
1228,iOS Developer,12.92,11.290000000000001
1792,JavaScript Developer,15.18,11.27
1834,PHP Developer,12.95,11.267999999999999
1857,Java Developer,14.64,11.264
257,Wordpress Developer,13.61,11.26
878,Backend Developer,12.65,11.258000000000001
2208,PHP Developer,16.4,11.254
2220,Java Developer,15.48,11.254
595,Network Administrator,24.3,11.248
1255,JavaScript Developer,12.83,11.238
1815,iOS Developer,13.9,11.23
167,Java Developer,15.15,11.209999999999999
1975,Django Developer,14.26,11.201999999999998
1055,PHP Developer,11.89,11.2
1793,Software Engineer,13.25,11.192
254,JavaScript Developer,17.18,11.18
843,PHP Developer,16.16,11.175999999999998
2235,PHP Developer,18.25,11.166
1952,Flutter Developer,13.46,11.162
458,Node js developer,13.61,11.15
1249,Software Engineer,15.57,11.144
424,Node js developer,15.31,11.14
73,Flutter Developer,13.39,11.126
1203,JavaScript Developer,17.69,11.118
1362,Network Administrator,20.6,11.117999999999999
1672,Django Developer,13.25,11.116000000000001
472,DevOps Engineer,11.33,11.112
1106,Machine Learning,16.26,11.108
211,Django Developer,13.36,11.062000000000001
376,Network Administrator,19.39,11.059999999999999
1933,Node js developer,13.98,11.038
867,Database Administrator,18.34,11.032
1211,Node js developer,13.35,11.022
991,Network Administrator,17.65,11.006
1149,JavaScript Developer,13.98,11.006
2238,Wordpress Developer,11.84,10.991999999999999
102,Node js developer,13.52,10.976
209,PHP Developer,15.72,10.970000000000002
1840,PHP Developer,13.24,10.954
877,Full Stack Developer,12.46,10.95
1879,PHP Developer,12.72,10.95
162,Node js developer,21.74,10.941999999999998
410,Backend Developer,11.45,10.924000000000001
149,Flutter Developer,12.27,10.92
242,Node js developer,12.09,10.918
1520,Node js developer,12.46,10.906
230,Backend Developer,12.37,10.902000000000001
2116,PHP Developer,12.11,10.894
718,Java Developer,14.85,10.882
1580,Wordpress Developer,13.73,10.878
1274,Flutter Developer,12.39,10.878
1894,Backend Developer,17.94,10.876
229,Software Engineer,13.74,10.872
377,Node js developer,15.76,10.866
396,Java Developer,19.39,10.860000000000001
124,Backend Developer,15.31,10.850000000000001
1701,Django Developer,15.4,10.847999999999999
1876,Network Administrator,13.92,10.846
1905,Network Administrator,19.0,10.83
280,Software Engineer,20.34,10.822
1689,Java Developer,12.93,10.816
623,Java Developer,21.73,10.808
70,Flutter Developer,11.58,10.8
233,Java Developer,15.75,10.8
1827,Backend Developer,16.07,10.796000000000001
942,iOS Developer,17.38,10.782
1393,Flutter Developer,12.14,10.782
1107,Java Developer,12.54,10.778
24,PHP Developer,13.51,10.77
1288,JavaScript Developer,15.1,10.758
885,Machine Learning,12.32,10.75
1066,Software Engineer,12.43,10.749999999999998
2237,Flutter Developer,14.11,10.739999999999998
2258,Software Engineer,14.91,10.726
1957,Java Developer,16.08,10.724
1363,Java Developer,18.07,10.722
452,JavaScript Developer,15.49,10.722
2008,Backend Developer,18.66,10.719999999999999
1285,JavaScript Developer,12.79,10.718
1465,Java Developer,16.52,10.701999999999998
1863,iOS Developer,13.67,10.693999999999999
1847,Java Developer,15.05,10.692
2017,Java Developer,11.55,10.691999999999998
1872,Node js developer,16.78,10.684000000000001
708,Node js developer,13.23,10.675999999999998
1850,Network Administrator,24.89,10.672
970,Database Administrator,12.77,10.67
1041,Flutter Developer,14.56,10.668000000000001
1088,PHP Developer,18.4,10.668000000000001
1636,Node js developer,14.72,10.666
1224,DevOps Engineer,16.43,10.661999999999997
141,PHP Developer,14.91,10.66
2084,JavaScript Developer,13.39,10.656
1080,iOS Developer,15.37,10.654
134,Network Administrator,20.16,10.65
120,PHP Developer,12.19,10.638000000000002
1063,Java Developer,16.42,10.632000000000001
1721,Network Administrator,16.97,10.622000000000002
1794,Java Developer,15.31,10.617999999999999
1563,Software Engineer,19.5,10.614
903,Network Administrator,16.38,10.61
1069,Backend Developer,13.98,10.604
392,Django Developer,17.38,10.602
444,Machine Learning,16.33,10.6
905,Java Developer,14.04,10.594
1594,Network Administrator,13.66,10.584
367,PHP Developer,13.19,10.572
484,Django Developer,12.19,10.569999999999999
1186,iOS Developer,12.91,10.565999999999999
1192,iOS Developer,12.74,10.56
1198,DevOps Engineer,11.31,10.554
750,Node js developer,13.71,10.526
517,Database Administrator,13.87,10.518
232,DevOps Engineer,17.5,10.506
287,Backend Developer,13.93,10.506
2071,Network Administrator,19.64,10.494000000000002
1188,Wordpress Developer,13.56,10.494
859,Django Developer,11.82,10.492
1984,PHP Developer,13.6,10.492
719,JavaScript Developer,13.58,10.459999999999999
760,Database Administrator,12.9,10.438
1770,Machine Learning,12.92,10.436
2154,JavaScript Developer,14.37,10.434
952,DevOps Engineer,14.47,10.429999999999998
659,Network Administrator,17.15,10.395999999999999
1797,Java Developer,13.39,10.386
533,Full Stack Developer,10.95,10.367999999999999
1286,Network Administrator,14.46,10.360000000000001
553,PHP Developer,13.57,10.358
528,Django Developer,12.43,10.358
273,iOS Developer,14.61,10.34
385,JavaScript Developer,12.92,10.325999999999999
1344,Network Administrator,21.83,10.324
1015,Backend Developer,13.7,10.315999999999999
883,iOS Developer,12.95,10.31
857,Software Engineer,13.08,10.303999999999998
526,Full Stack Developer,12.53,10.3
2117,Java Developer,10.7,10.298
1515,Software Engineer,14.75,10.296
214,PHP Developer,11.89,10.284
265,Node js developer,11.77,10.282
481,Full Stack Developer,15.05,10.264
836,Flutter Developer,11.59,10.260000000000002
1427,JavaScript Developer,11.19,10.258
779,Software Engineer,12.5,10.254
1855,Database Administrator,16.48,10.25
925,iOS Developer,12.42,10.245999999999999
1833,Django Developer,11.36,10.236
1648,iOS Developer,12.72,10.23
2255,Node js developer,11.79,10.23
1416,Flutter Developer,12.77,10.23
1511,DevOps Engineer,14.38,10.226
1574,PHP Developer,12.54,10.224
2018,Django Developer,14.87,10.212
1706,iOS Developer,13.14,10.2
932,Network Administrator,17.53,10.188
1534,Backend Developer,14.42,10.187999999999999
1226,Backend Developer,16.09,10.181999999999999
173,Full Stack Developer,11.35,10.177999999999999
334,JavaScript Developer,12.39,10.176
47,DevOps Engineer,14.77,10.163999999999998
228,Wordpress Developer,13.94,10.16
805,Network Administrator,20.98,10.16
2209,iOS Developer,14.13,10.154
1678,Network Administrator,17.05,10.150000000000002
166,Wordpress Developer,11.04,10.15
1061,Network Administrator,21.28,10.146
1880,Flutter Developer,19.99,10.145999999999997
1527,JavaScript Developer,12.35,10.142
892,Software Engineer,11.74,10.138
1329,Flutter Developer,13.1,10.126
1262,PHP Developer,14.42,10.11
2105,Backend Developer,15.27,10.11
972,JavaScript Developer,11.87,10.108
2074,Java Developer,11.92,10.105999999999998
769,PHP Developer,12.22,10.102
1685,Wordpress Developer,11.53,10.092
1448,Full Stack Developer,13.27,10.09
55,PHP Developer,15.25,10.084
432,Flutter Developer,12.3,10.081999999999999
1553,PHP Developer,15.19,10.075999999999999
306,JavaScript Developer,11.0,10.072
1310,iOS Developer,13.91,10.062
754,Node js developer,11.47,10.062
610,Node js developer,11.32,10.059999999999999
2157,Network Administrator,14.68,10.054
1541,Node js developer,17.96,10.038
252,Flutter Developer,14.99,10.036
2227,Node js developer,13.56,10.032
1426,Django Developer,16.13,10.010000000000002
1118,iOS Developer,14.86,10.004
185,Software Engineer,18.55,10.002
1805,Backend Developer,12.06,10.001999999999999
539,Flutter Developer,15.28,10.0
919,iOS Developer,15.28,10.0
156,Flutter Developer,10.17,9.998000000000001
1695,Network Administrator,17.12,9.998
2177,Java Developer,13.34,9.995999999999999
1151,Machine Learning,11.65,9.99
1455,Java Developer,12.16,9.989999999999998
514,Backend Developer,15.2,9.988
1057,Flutter Developer,13.77,9.987999999999998
2241,Database Administrator,12.0,9.986
66,Node js developer,11.41,9.98
1265,Django Developer,17.25,9.972
216,Network Administrator,18.58,9.966
1167,PHP Developer,11.69,9.964000000000002
1651,DevOps Engineer,11.85,9.956
1922,Django Developer,13.64,9.956
2022,Java Developer,11.71,9.95
1156,JavaScript Developer,12.39,9.948
303,iOS Developer,17.24,9.947999999999999
822,iOS Developer,13.54,9.946000000000002
547,Machine Learning,12.48,9.940000000000001
477,Node js developer,15.58,9.937999999999999
1183,Machine Learning,12.84,9.936
2243,Backend Developer,13.61,9.931999999999999
1296,Database Administrator,10.75,9.926
1258,Network Administrator,18.11,9.919999999999998
590,Java Developer,13.06,9.913999999999998
1602,Node js developer,19.91,9.91
5,Java Developer,11.55,9.896
874,Django Developer,11.58,9.894000000000002
1112,JavaScript Developer,10.69,9.894
2142,Network Administrator,15.46,9.892
72,Full Stack Developer,14.58,9.888000000000002
593,DevOps Engineer,13.41,9.882
679,Flutter Developer,14.08,9.874
2147,PHP Developer,15.8,9.868
1772,Full Stack Developer,14.15,9.862
783,Django Developer,13.59,9.854
570,Network Administrator,13.57,9.83
292,PHP Developer,14.22,9.822
1011,Wordpress Developer,14.22,9.822
1925,Backend Developer,11.74,9.818000000000001
1665,JavaScript Developer,13.11,9.812000000000001
2152,Flutter Developer,10.43,9.809999999999999
1092,Node js developer,12.27,9.809999999999999
801,Software Engineer,15.69,9.806000000000001
1131,Software Engineer,11.61,9.803999999999998
1802,Network Administrator,15.78,9.792
115,JavaScript Developer,13.09,9.792
196,Software Engineer,14.92,9.791999999999998
1337,iOS Developer,15.05,9.79
1517,PHP Developer,11.55,9.788
2229,Django Developer,14.2,9.788
1155,Network Administrator,17.08,9.788
479,Full Stack Developer,11.23,9.778
375,Node js developer,12.92,9.778
1996,Network Administrator,18.32,9.776
245,Wordpress Developer,11.96,9.776
1391,Node js developer,10.22,9.772
1555,Django Developer,12.28,9.77
455,Wordpress Developer,10.92,9.766
1180,Flutter Developer,10.68,9.764
1789,JavaScript Developer,17.99,9.762
180,Node js developer,11.67,9.762
753,Django Developer,14.09,9.745999999999999
997,Django Developer,11.67,9.744
887,Network Administrator,20.4,9.741999999999999
399,Network Administrator,17.28,9.738
1823,Django Developer,16.36,9.727999999999998
1484,Network Administrator,14.92,9.706
869,JavaScript Developer,12.52,9.698
393,Machine Learning,11.73,9.693999999999999
861,Node js developer,11.99,9.690000000000001
1051,JavaScript Developer,11.63,9.684000000000001
1906,Flutter Developer,10.42,9.677999999999999
2226,Full Stack Developer,13.36,9.675999999999998
934,PHP Developer,14.51,9.675999999999998
132,Backend Developer,11.76,9.674
1353,Flutter Developer,12.07,9.662
1798,PHP Developer,13.5,9.66
1326,Java Developer,13.92,9.648
1585,PHP Developer,13.08,9.644
152,Wordpress Developer,11.94,9.644
847,Software Engineer,10.45,9.642
34,Backend Developer,12.24,9.64
1680,Machine Learning,12.46,9.64
2179,JavaScript Developer,17.1,9.638000000000002
1877,Backend Developer,11.58,9.632000000000001
1071,Database Administrator,15.12,9.632
179,Django Developer,9.8,9.626000000000001
858,Network Administrator,12.36,9.626
1990,Software Engineer,12.52,9.623999999999999
1202,Wordpress Developer,12.82,9.62
1137,Django Developer,11.67,9.618
1607,Network Administrator,18.12,9.616
2156,iOS Developer,12.0,9.61
1358,PHP Developer,13.78,9.61
309,Django Developer,10.23,9.61
2211,Django Developer,13.3,9.606
1352,Software Engineer,16.82,9.602
54,PHP Developer,17.24,9.599999999999998
842,iOS Developer,12.71,9.59
1315,Database Administrator,12.87,9.582
441,iOS Developer,11.99,9.582
1686,Node js developer,12.69,9.58
1038,Network Administrator,21.98,9.578
2216,Wordpress Developer,12.83,9.575999999999999
868,PHP Developer,12.26,9.574000000000002
1745,Software Engineer,11.02,9.574
930,Full Stack Developer,12.47,9.569999999999999
1146,Network Administrator,15.06,9.568000000000001
408,Node js developer,11.74,9.562000000000001
658,Software Engineer,10.44,9.559999999999999
529,Django Developer,14.31,9.558000000000002
1398,Django Developer,14.06,9.556000000000001
2178,Node js developer,12.05,9.553999999999998
1452,PHP Developer,17.74,9.552
1942,iOS Developer,11.56,9.548
1522,JavaScript Developer,11.67,9.542
1865,Flutter Developer,11.37,9.536
668,Database Administrator,12.32,9.528
286,Wordpress Developer,16.26,9.524000000000001
1303,Full Stack Developer,11.91,9.508000000000001
